,0,1,2,3
0,0.01,0.01,131,722
1,0.01,0.02,131,721
2,0.01,0.03,131,708
3,0.01,0.04,131,693
4,0.01,0.05,131,677
5,0.01,0.06,131,664
6,0.01,0.07,131,650
7,0.01,0.08,131,632
8,0.01,0.09,131,618
9,0.01,0.1,131,592
10,0.01,0.11,131,563
11,0.01,0.12,131,551
12,0.01,0.13,131,541
13,0.01,0.14,131,521
14,0.01,0.15,131,507
15,0.01,0.16,131,492
16,0.01,0.17,131,477
17,0.01,0.18,131,467
18,0.01,0.19,131,448
19,0.01,0.2,131,437
20,0.01,0.21,131,425
21,0.01,0.22,131,410
22,0.01,0.23,131,389
23,0.01,0.24,131,371
24,0.01,0.25,131,353
25,0.01,0.26,131,337
26,0.01,0.27,131,327
27,0.01,0.28,131,320
28,0.01,0.29,131,312
29,0.01,0.3,131,300
30,0.01,0.31,131,295
31,0.01,0.32,131,286
32,0.01,0.33,131,280
33,0.01,0.34,131,277
34,0.01,0.35,131,274
35,0.01,0.36,131,259
36,0.01,0.37,131,251
37,0.01,0.38,131,245
38,0.01,0.39,131,241
39,0.01,0.4,131,236
40,0.01,0.41,131,226
41,0.01,0.42,131,214
42,0.01,0.43,131,203
43,0.01,0.44,131,191
44,0.01,0.45,131,181
45,0.01,0.46,131,168
46,0.01,0.47,131,158
47,0.01,0.48,131,150
48,0.01,0.49,131,139
49,0.01,0.5,131,132
50,0.01,0.51,131,116
51,0.01,0.52,131,108
52,0.01,0.53,131,100
53,0.01,0.54,131,98
54,0.01,0.55,131,89
55,0.01,0.56,131,85
56,0.01,0.57,131,75
57,0.01,0.58,131,69
58,0.01,0.59,131,60
59,0.01,0.6,131,55
60,0.02,0.01,110,606
61,0.02,0.02,110,606
62,0.02,0.03,110,606
63,0.02,0.04,110,605
64,0.02,0.05,110,596
65,0.02,0.06,110,586
66,0.02,0.07,110,573
67,0.02,0.08,110,563
68,0.02,0.09,110,552
69,0.02,0.1,110,529
70,0.02,0.11,110,505
71,0.02,0.12,110,495
72,0.02,0.13,110,486
73,0.02,0.14,110,467
74,0.02,0.15,110,458
75,0.02,0.16,110,443
76,0.02,0.17,110,432
77,0.02,0.18,110,423
78,0.02,0.19,110,407
79,0.02,0.2,110,397
80,0.02,0.21,110,386
81,0.02,0.22,110,371
82,0.02,0.23,110,352
83,0.02,0.24,110,337
84,0.02,0.25,110,320
85,0.02,0.26,110,306
86,0.02,0.27,110,296
87,0.02,0.28,110,290
88,0.02,0.29,110,282
89,0.02,0.3,110,270
90,0.02,0.31,110,266
91,0.02,0.32,110,258
92,0.02,0.33,110,253
93,0.02,0.34,110,250
94,0.02,0.35,110,247
95,0.02,0.36,110,237
96,0.02,0.37,110,230
97,0.02,0.38,110,224
98,0.02,0.39,110,220
99,0.02,0.4,110,215
100,0.02,0.41,110,206
101,0.02,0.42,110,194
102,0.02,0.43,110,183
103,0.02,0.44,110,172
104,0.02,0.45,110,162
105,0.02,0.46,110,150
106,0.02,0.47,110,141
107,0.02,0.48,110,133
108,0.02,0.49,110,122
109,0.02,0.5,110,115
110,0.02,0.51,110,99
111,0.02,0.52,110,91
112,0.02,0.53,110,84
113,0.02,0.54,110,82
114,0.02,0.55,110,73
115,0.02,0.56,110,69
116,0.02,0.57,110,62
117,0.02,0.58,110,56
118,0.02,0.59,110,48
119,0.02,0.6,110,43
120,0.03,0.01,101,504
121,0.03,0.02,101,504
122,0.03,0.03,101,504
123,0.03,0.04,101,504
124,0.03,0.05,101,504
125,0.03,0.06,101,502
126,0.03,0.07,101,497
127,0.03,0.08,101,489
128,0.03,0.09,101,480
129,0.03,0.1,101,460
130,0.03,0.11,101,445
131,0.03,0.12,101,438
132,0.03,0.13,101,431
133,0.03,0.14,101,415
134,0.03,0.15,101,408
135,0.03,0.16,101,396
136,0.03,0.17,101,387
137,0.03,0.18,101,379
138,0.03,0.19,101,364
139,0.03,0.2,101,355
140,0.03,0.21,101,345
141,0.03,0.22,101,331
142,0.03,0.23,101,314
143,0.03,0.24,101,300
144,0.03,0.25,101,283
145,0.03,0.26,101,271
146,0.03,0.27,101,264
147,0.03,0.28,101,259
148,0.03,0.29,101,252
149,0.03,0.3,101,240
150,0.03,0.31,101,237
151,0.03,0.32,101,231
152,0.03,0.33,101,226
153,0.03,0.34,101,224
154,0.03,0.35,101,222
155,0.03,0.36,101,213
156,0.03,0.37,101,206
157,0.03,0.38,101,200
158,0.03,0.39,101,197
159,0.03,0.4,101,192
160,0.03,0.41,101,184
161,0.03,0.42,101,174
162,0.03,0.43,101,163
163,0.03,0.44,101,153
164,0.03,0.45,101,145
165,0.03,0.46,101,133
166,0.03,0.47,101,125
167,0.03,0.48,101,117
168,0.03,0.49,101,106
169,0.03,0.5,101,99
170,0.03,0.51,101,83
171,0.03,0.52,101,75
172,0.03,0.53,101,69
173,0.03,0.54,101,68
174,0.03,0.55,101,61
175,0.03,0.56,101,58
176,0.03,0.57,101,51
177,0.03,0.58,101,45
