,用户的id,用户的姓名,保密,女,男,"用户的签名（0,1）",用户的等级,有没有佩戴粉丝牌,vip,关注数,粉丝数,收藏夹总视频数,收藏夹id,视频数量,视频的时长,视频的bv_id,视频的id,视频的收藏数,视频的播放数,视频的弹幕数,点赞数,投币数,分享数,视频的up主的粉丝数,这个视频的第几个tag,标签的id,标签的名字,标签的订阅数,这个标签下的视频投稿数,这个标签下的精选视频数,大Tag
0,3.0,囧囧倉,0.0,0.0,1.0,1.0,-0.731780643,0.0,0.0,-0.513551359,-0.011553049,-0.389387912,61989503.0,391.0,140.0,BV1dU4y1u7zS,676401095.0,-0.268780297,-0.212410953,-0.158882997,-0.216988991,-0.237189091,-0.268775389,-0.187223699,0.0,11687.0,综艺,0.010362803,0.879012972,0.189206412,综艺
18,8.0,Lizeqiangds,0.0,0.0,1.0,1.0,-0.731780643,1.0,1.0,-0.682624985,-0.066314994,-0.501068947,62669608.0,48.0,524.0,BV1Cf4y1y7KT,286053672.0,0.301515163,0.318125511,-0.007550268,0.667317292,0.70068894,0.300781813,0.21174042,1.0,28784.0,编程,-0.027559583,-0.394873647,-0.361251089,知识
33,17.0,WEIghtness,0.0,1.0,0.0,1.0,0.836650855,1.0,0.0,-0.159797311,-0.062013367,-0.251884673,723886217.0,31.0,706.0,BV1pE411s7Kd,94082641.0,-0.14923524,-0.245019777,-0.159896386,-0.244872523,-0.180023269,-0.149887668,-0.184423682,0.0,28784.0,编程,-0.027559583,-0.394873647,-0.361251089,知识
93,19.0,大大大罐头,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,0.11072049,-0.033508106,0.393670441,44407219.0,137.0,291.0,BV1Tt4y1X7zk,626397714.0,-0.264746499,-0.243912236,-0.152332687,-0.244872523,-0.175552648,-0.264741619,-0.141490094,1.0,11687.0,综艺,0.010362803,0.879012972,0.189206412,综艺
151,24.0,不思議,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.49534343,-0.044297089,-0.49138562,61271424.0,78.0,127.0,BV1EW411F7GK,23320685.0,-0.062055147,-0.095221014,-0.118479626,-0.181138736,0.173155739,-0.060866536,0.058734046,0.0,26583.0,拳击,-0.630194659,-0.483231433,-0.380851505,运动
177,30.0,堆堆堆堆堆堆堆堆堆堆,0.0,0.0,1.0,1.0,-0.731780643,0.0,1.0,-0.700832914,-0.080365113,-0.418115115,62611930.0,305.0,53.0,BV1mf4y1F7vk,378313886.0,1.203121684,2.92503679,0.082744143,4.403710508,1.898815193,1.202120774,1.267484396,2.0,7945544.0,原神,-0.102780515,-0.080547631,0.333790655,游戏
192,35.0,愛在二次元,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,-0.823086151,-0.07792799,-0.435545103,323545835.0,10.0,104.0,BV1yK4y1576N,886018316.0,-0.087904832,0.049642198,-0.132402707,0.002095899,-0.19790575,-0.088685639,0.395348068,2.0,11687.0,综艺,0.010365831,0.879012972,0.189206412,综艺
247,37.0,折射,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.765861232,0.035450604,-0.336452393,160816237.0,142.0,765.0,BV1y64y1q757,759949922.0,4.102297939,4.273727179,3.334268232,8.243671126,10.85346775,4.100871382,12.40634838,0.0,16230013.0,黑神话悟空,-0.562358333,-0.510135264,-0.381200622,游戏
268,42.0,超氪金月饼,0.0,0.0,1.0,1.0,-2.300212141,0.0,0.0,-0.836091815,-0.081531301,-0.504942278,62834742.0,36.0,287.0,BV1oW411p71N,20925762.0,-0.232860028,-0.120987399,-0.101619186,-0.228939076,-0.209609834,-0.233344979,-0.167914295,3.0,17683.0,单机游戏,0.590654788,3.669089493,0.856418556,游戏
281,46.0,藤原妹红,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.513551359,-0.077138893,-0.40552679,934718146.0,1.0,127094.0,BV1j7411b7DQ,87727143.0,-0.297690103,-0.268879679,-0.134282617,-0.308805477,-0.241615005,-0.297685002,-0.208460983,0.0,8859.0,考试,-0.252933172,-0.144897839,-0.207739429,知识
336,54.0,菜刀武士,1.0,0.0,0.0,0.0,-0.731780643,0.0,0.0,-0.726844241,-0.081873475,-0.509138386,51798454.0,23.0,879.0,BV1bW411M7Ry,21741078.0,-0.159962359,-0.13055173,-0.080866746,-0.290509897,-0.220772973,-0.161015309,0.089335321,0.0,11687.0,综艺,0.010367345,0.879012972,0.189206412,综艺
361,60.0,钉宫理惠,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.880311071,-0.076761802,-0.510429496,1281011360.0,1.0,18144.0,BV1NK411M7kA,499322746.0,-0.305568527,-0.299994706,-0.148895977,-0.310765291,-0.241856419,-0.305563372,-0.21557578,3.0,11687.0,综艺,0.010367345,0.879012972,0.189206412,综艺
363,68.0,安心作梦,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,-0.893316734,2.5e-05,-0.494613396,62393668.0,68.0,292.0,BV1kW411u7HZ,21486669.0,-0.10414017,0.012226915,-0.098197163,-0.193088821,0.097155193,-0.105377102,0.15053787,0.0,363.0,MUGEN,-0.661080696,-0.483973935,-0.395364791,游戏
365,71.0,時間の旅人,1.0,0.0,0.0,1.0,0.836650855,1.0,1.0,4.308948678,-0.080714271,0.737751318,1293044171.0,2.0,295.0,BV18V411o74b,412706983.0,-0.311026671,-0.297133559,-0.16115945,-0.311430512,-0.242495717,-0.31102148,-0.216126603,0.0,41917.0,心理学,-0.09148935,-0.475806408,-0.341800294,知识
432,74.0,魂魄妖奕,1.0,0.0,0.0,0.0,-0.731780643,1.0,1.0,-0.521354757,-0.08195029,-0.476537853,62767674.0,124.0,1084.0,BV1Nf4y1G7ZS,292436159.0,2.679157611,1.308728914,3.073592319,5.590752276,9.127808296,2.676533271,1.12977866,0.0,105286.0,国家宝藏,-0.434854629,-0.505754005,-0.377609706,综艺
442,75.0,丸子,0.0,0.0,1.0,1.0,0.836650855,1.0,0.0,0.001472917,7.179977985,-0.410368454,1322753275.0,33.0,1207.0,BV13Z4y1G7aL,372923578.0,-0.287836511,-0.249723979,-0.151627721,-0.252839246,-0.211979263,-0.287831475,-0.107384973,0.0,7700690.0,战双帕弥什,-0.591060938,-0.483478933,-0.375365384,游戏
572,86.0,油条のetsp,0.0,0.0,1.0,1.0,0.836650855,1.0,1.0,-0.628001198,-0.082292465,-0.41876067,49750886.0,294.0,212.0,BV1rK411F7S1,502598871.0,0.208876925,0.060791402,-0.125162117,0.217197427,0.217861942,0.20619686,0.028132772,1.0,1311.0,茄子,-0.619198757,-0.503773999,-0.35501686,游戏
595,94.0,NEKO-MIMI,0.0,1.0,0.0,1.0,0.836650855,1.0,1.0,-0.141589382,-0.07187359,-0.513657272,1341222794.0,5.0,38.0,BV1cf4y1n7sm,292963593.0,-0.311132385,-0.304538917,-0.162877805,-0.312135567,-0.242455482,-0.311127193,-0.216631524,1.0,1833.0,搞笑,3.291926311,2.94440715,4.545635895,搞笑
598,98.0,黑暗新星,1.0,0.0,0.0,1.0,-0.731780643,0.0,0.0,-0.37048906,-0.081510351,-0.511397829,62495498.0,7.0,31305.0,BV14s411U7fR,2420292.0,0.064695105,-0.040675847,0.277564471,-0.240889161,-0.19343513,0.067101341,-0.068613158,0.0,1630.0,KAITO,-0.64915358,-0.508476514,-0.39626252,音乐
611,102.0,工藤新一,0.0,0.0,1.0,1.0,0.836650855,0.0,1.0,4.298544147,-0.081307839,-0.357110157,226238502.0,487.0,109744.0,BV1Vo4y1U76c,377355784.0,-0.299626326,-0.302151849,-0.160542605,-0.31111981,-0.241820654,-0.299621212,-0.216325511,2.0,28784.0,编程,-0.027541412,-0.394873647,-0.361251089,知识
624,239.0,古手梨花,0.0,1.0,0.0,1.0,-0.731780643,1.0,0.0,-0.854299744,-0.082124869,-0.508170053,1049646339.0,26.0,203.0,BV15Z4y1G7Z2,372928846.0,-0.168324838,-0.180235752,-0.15497631,-0.125371673,-0.166611408,-0.16657913,-0.12842335,0.0,386.0,翻唱,-0.095252062,0.079090386,-0.161257016,音乐
670,246.0,gchxp,0.0,0.0,1.0,0.0,-0.731780643,1.0,0.0,-0.508349094,-0.082390229,-0.510752274,62559646.0,18.0,8405.0,BV144411q7qW,65893628.0,-0.310882011,-0.302691389,-0.161409126,-0.312306852,-0.24258513,-0.310876821,-0.216646824,1.0,11687.0,综艺,0.010370373,0.879012972,0.189455781,综艺
677,247.0,Daddy兔,1.0,0.0,0.0,1.0,-0.731780643,0.0,1.0,-0.781468028,-0.082453078,-0.497841172,62186147.0,58.0,21.0,BV1154y1774U,847148016.0,-0.311188023,-0.300436462,-0.160806967,-0.311721298,-0.242401834,-0.311182831,-0.216203106,0.0,7945544.0,原神,-0.102721462,-0.080547631,0.334439015,游戏
