,0,1,2,3
0,0.1,0.6,50,13
1,0.1,0.61,50,12
2,0.1,0.62,50,11
3,0.1,0.63,50,11
4,0.1,0.64,50,10
5,0.1,0.65,50,6
6,0.1,0.66,50,6
7,0.1,0.67,50,5
8,0.1,0.68,50,5
9,0.1,0.69,50,5
10,0.1,0.7,50,5
11,0.1,0.71,50,4
12,0.1,0.72,50,4
13,0.1,0.73,50,4
14,0.1,0.74,50,3
15,0.1,0.75,50,2
16,0.1,0.76,50,2
17,0.1,0.77,50,1
18,0.1,0.78,50,0
19,0.1,0.79,50,0
20,0.1,0.8,50,0
21,0.1,0.81,50,0
22,0.1,0.82,50,0
23,0.1,0.83,50,0
24,0.1,0.84,50,0
25,0.1,0.85,50,0
26,0.1,0.86,50,0
27,0.1,0.87,50,0
28,0.1,0.88,50,0
29,0.1,0.89,50,0
30,0.1,0.9,50,0
31,0.1,0.91,50,0
32,0.1,0.92,50,0
33,0.1,0.93,50,0
34,0.1,0.94,50,0
35,0.1,0.95,50,0
36,0.1,0.96,50,0
37,0.1,0.97,50,0
38,0.1,0.98,50,0
39,0.1,0.99,50,0
40,0.1,1.0,50,0
41,0.11,0.6,45,11
42,0.11,0.61,45,10
43,0.11,0.62,45,10
44,0.11,0.63,45,10
45,0.11,0.64,45,9
46,0.11,0.65,45,6
47,0.11,0.66,45,6
48,0.11,0.67,45,5
49,0.11,0.68,45,5
50,0.11,0.69,45,5
51,0.11,0.7,45,5
52,0.11,0.71,45,4
53,0.11,0.72,45,4
54,0.11,0.73,45,4
55,0.11,0.74,45,3
56,0.11,0.75,45,2
57,0.11,0.76,45,2
58,0.11,0.77,45,1
59,0.11,0.78,45,0
60,0.11,0.79,45,0
61,0.11,0.8,45,0
62,0.11,0.81,45,0
63,0.11,0.82,45,0
64,0.11,0.83,45,0
65,0.11,0.84,45,0
66,0.11,0.85,45,0
67,0.11,0.86,45,0
68,0.11,0.87,45,0
69,0.11,0.88,45,0
70,0.11,0.89,45,0
71,0.11,0.9,45,0
72,0.11,0.91,45,0
73,0.11,0.92,45,0
74,0.11,0.93,45,0
75,0.11,0.94,45,0
76,0.11,0.95,45,0
77,0.11,0.96,45,0
78,0.11,0.97,45,0
79,0.11,0.98,45,0
80,0.11,0.99,45,0
81,0.11,1.0,45,0
82,0.12,0.6,39,8
83,0.12,0.61,39,7
84,0.12,0.62,39,7
85,0.12,0.63,39,7
86,0.12,0.64,39,7
87,0.12,0.65,39,4
88,0.12,0.66,39,4
89,0.12,0.67,39,3
90,0.12,0.68,39,3
91,0.12,0.69,39,3
92,0.12,0.7,39,3
93,0.12,0.71,39,3
94,0.12,0.72,39,3
95,0.12,0.73,39,3
96,0.12,0.74,39,3
97,0.12,0.75,39,2
98,0.12,0.76,39,2
99,0.12,0.77,39,1
100,0.12,0.78,39,0
101,0.12,0.79,39,0
102,0.12,0.8,39,0
103,0.12,0.81,39,0
104,0.12,0.82,39,0
105,0.12,0.83,39,0
106,0.12,0.84,39,0
107,0.12,0.85,39,0
108,0.12,0.86,39,0
109,0.12,0.87,39,0
110,0.12,0.88,39,0
111,0.12,0.89,39,0
112,0.12,0.9,39,0
113,0.12,0.91,39,0
114,0.12,0.92,39,0
115,0.12,0.93,39,0
116,0.12,0.94,39,0
117,0.12,0.95,39,0
118,0.12,0.96,39,0
119,0.12,0.97,39,0
120,0.12,0.98,39,0
121,0.12,0.99,39,0
122,0.12,1.0,39,0
123,0.13,0.6,38,8
124,0.13,0.61,38,7
125,0.13,0.62,38,7
126,0.13,0.63,38,7
127,0.13,0.64,38,7
128,0.13,0.65,38,4
129,0.13,0.66,38,4
130,0.13,0.67,38,3
131,0.13,0.68,38,3
132,0.13,0.69,38,3
133,0.13,0.7,38,3
134,0.13,0.71,38,3
135,0.13,0.72,38,3
136,0.13,0.73,38,3
137,0.13,0.74,38,3
138,0.13,0.75,38,2
139,0.13,0.76,38,2
140,0.13,0.77,38,1
141,0.13,0.78,38,0
142,0.13,0.79,38,0
143,0.13,0.8,38,0
144,0.13,0.81,38,0
145,0.13,0.82,38,0
146,0.13,0.83,38,0
147,0.13,0.84,38,0
148,0.13,0.85,38,0
149,0.13,0.86,38,0
150,0.13,0.87,38,0
151,0.13,0.88,38,0
152,0.13,0.89,38,0
153,0.13,0.9,38,0
154,0.13,0.91,38,0
155,0.13,0.92,38,0
156,0.13,0.93,38,0
157,0.13,0.94,38,0
158,0.13,0.95,38,0
159,0.13,0.96,38,0
160,0.13,0.97,38,0
161,0.13,0.98,38,0
162,0.13,0.99,38,0
163,0.13,1.0,38,0
164,0.14,0.6,33,7
165,0.14,0.61,33,7
166,0.14,0.62,33,7
167,0.14,0.63,33,7
